FIRE,X11_Open_water,X31_Barren_land_rock_sand_clay,X41_Deciduous_forest,X42_Evergreen_forest,X43_Mixed_forest,X52_Shrub_scrub,X71_Grassland_herbaceous,X81_Pasture_hay,X82_Cultivated_crops,X90_Woody_wetlands,X95_Emergent_herbaceous_wetlands,X12_Perennial_ice_snow,pop_year,nb_feux_voisins_lag,av_temp_hi,av_temp_lo,av_temp_mean,av_precip,av_wind_speed,av_cloud_cover,av_humidity,county_size,nb_feux_lag,percentage_area_burned_prev_week,XX_Developed,.pred_class,Y,bonne_prediction
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,0,12.7727272727273,4.4,8.15909090909091,0.553181818181818,15.6545454545455,40.0045454545455,80.1409090909091,212541,1,1.0172815794720715e-4,1308.6594,NON_FEU,FEU,FALSE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,3,15.1409090909091,4.90909090909091,9.43636363636364,0.188181818181818,14.8090909090909,28.3227272727273,75.1240909090909,212541,3,1.4114923708837353e-6,1308.6594,NON_FEU,NON_FEU,TRUE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,0,17.1590909090909,5.11363636363636,10.5409090909091,0.324090909090909,16.2636363636364,16.1,68.9281818181818,212541,0,0,1308.6594,NON_FEU,FEU,FALSE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,3,17.7318181818182,5.02727272727273,10.8954545454545,0.313181818181818,18.2090909090909,13.2318181818182,60.1827272727273,212541,1,9.409949139224903e-7,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,1,15.8590909090909,5.35909090909091,10.4318181818182,2.825,20.6045454545455,35.8727272727273,63.1777272727273,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,1,14.4909090909091,4.54090909090909,9.44090909090909,3.30181818181818,21.1954545454545,37.9954545454545,65.6545454545455,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,1,13.5227272727273,4.03181818181818,8.75,3.38227272727273,20.3545454545455,46.3818181818182,73.0218181818182,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,3,14.0590909090909,4.86818181818182,9.34545454545455,1.85772727272727,19.3136363636364,41.0772727272727,75.3095454545455,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,1,15.4772727272727,6.56818181818182,10.8,2.615,21.0636363636364,47.7681818181818,76.19,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,0,14.8409090909091,7.74090909090909,11.0954545454545,5.27454545454545,24.0818181818182,63.3590909090909,78.3159090909091,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,1,16.3681818181818,7.95909090909091,11.9136363636364,4.76181818181818,23.2772727272727,53.2590909090909,75.0195454545455,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,3,16.6272727272727,7.07727272727273,11.6545454545455,3.41181818181818,23.5,41.4045454545455,70.4895454545454,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,2,18.3272727272727,7.28636363636364,12.3681818181818,0.454090909090909,21.6727272727273,26.5045454545455,68.3827272727273,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
NON_FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,4,17.7636363636364,8.00454545454545,12.3590909090909,0.203181818181818,22.9,39.7227272727273,69.3359090909091,212541,0,0,1308.6594,NON_FEU,NON_FEU,TRUE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,5,18.2045454545455,8.50909090909091,12.8590909090909,0.173181818181818,24.9227272727273,41.0272727272727,67.5195454545455,212541,0,0,1308.6594,NON_FEU,FEU,FALSE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,20,20.5590909090909,9.48636363636364,14.6227272727273,0.0927272727272727,24.5,36.6545454545455,62.6763636363636,212541,5,6.586964397457431e-6,1308.6594,FEU,FEU,TRUE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,14,20.4545454545455,8.87727272727273,14.2909090909091,0.115909090909091,26.3227272727273,30.2863636363636,59.7259090909091,212541,4,5.222521772269822e-6,1308.6594,FEU,FEU,TRUE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,3,20.3636363636364,9.06363636363636,14.2181818181818,0.539545454545455,26.0818181818182,35.5227272727273,61.9027272727273,212541,1,4.7049745696124514e-7,1308.6594,FEU,FEU,TRUE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,15,18.3590909090909,9.28181818181818,13.1181818181818,0.612272727272727,27.6363636363636,45.0772727272727,67.9818181818182,212541,3,5.645969483534941e-6,1308.6594,NON_FEU,FEU,FALSE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,17,18.0363636363636,9.49090909090909,13.2272727272727,1.73181818181818,26.4363636363636,48.3727272727273,68.5586363636364,212541,2,5.175472026573697e-6,1308.6594,NON_FEU,FEU,FALSE
FEU,521.7885,10.539,0.8595,61.1073,584.8839,569.5074,979.8219,14.0004,162.5679,5.0202,84.9951,0,1535034,12,19.1454545454545,10.5090909090909,14.1454545454545,1.22318181818182,26.0772727272727,48.4181818181818,69.2163636363636,212541,1,1.176243642403113e-6,1308.6594,NON_FEU,FEU,FALSE
